yeppoon,-23.1333,150.7333,86,66,20,5.75,AU,1612739793
brigham city,41.5102,-112.0155,48.2,25,90,12.66,US,1612739727
kalomo,nan,nan,nan,nan,nan,nan,nan,nan
aksu,41.1231,80.2644,26.96,87,94,0.87,CN,1612739732
matagami,49.7502,-77.6328,3.2,72,90,6.91,CA,1612739524
prince albert,53.2001,-105.7677,-22,57,1,13.8,CA,1612739795
luganville,-15.5333,167.1667,85.5,54,0,5.35,VU,1612739795
zhigansk,66.7697,123.3711,-32.67,78,2,3.98,RU,1612739751
ugoofaaru,5.6667,73,81.36,71,14,9.1,MV,1612739721
tunxi,nan,nan,nan,nan,nan,nan,nan,nan
gubkinskiy,64.434,76.5026,11.66,94,97,19.28,RU,1612739797
tuggurt,nan,nan,nan,nan,nan,nan,nan,nan
kuryk,43.2,51.65,33.03,83,74,11.68,KZ,1612739798
longyearbyen,78.2186,15.6401,14,44,20,23.02,SJ,1612739687
codrington,-38.2667,141.9667,58.55,68,100,12.19,AU,1612739799
koslan,63.4564,48.8989,-21.42,85,100,9.57,RU,1612739799
asyut,27.181,31.1837,55.4,71,0,5.75,EG,1612739800
phan thiet,10.9333,108.1,70.68,85,76,5.99,VN,1612739800
bulgan,48.8125,103.5347,10.17,82,0,4.18,MN,1612739801
yenagoa,4.9247,6.2642,80.17,85,100,5.28,NG,1612739801
kimbe,-5.5502,150.1429,84.92,68,39,2.51,PG,1612739801
